id	nume	nume_act	an_inf	an_disp	hram	stare	id_bis	mahala	nr_case	nr_b	nr_f	nr_tot	tip	info	nr_preoti	nr_diaconi
1	Precupeții Noi	Precupeții Noi	1713	lipsă	Adormirea Precistii	existentă	B036	Mahalaua Precupeții Noi	85	202	202	404	zid	toate deplin	3	0
2	Cișmeaua lui Mavrogheni	Cișmeaua Mavrogheni	1786	lipsă	Izvorul Precistii	existentă	B027	Mahalaua Cișmeaua lui Mavrogheni	82	135	135	270	zid	toate deplin	2	0
3	Schitu Măgureanului	Schitu Măgureanu	1757	lipsă	Sfîntul Visarion	existentă	B010	Mahalaua Schitu Măgureanului	73	100	139	239	zid	toate deplin	2	0
4	Livedea-Gospod	Livedea Gospod	1785	lipsă	Sfinții Împărați Costantin și Elena	existentă	B002	Mahalaua Livedea Gospod	lipsă	lipsă	lipsă	lipsă	lemn	toate deplin	4	0
5	Dichiu	Dichiu-Tirchilești	1773	lipsă	Sfîntul Ierarh Nicolae	existentă	B028	Mahalaua Dichiului	117	107	183	290	zid	toate deplin	3	0
6	Domnița Bălașa	Domnița Bălașa	1744	lipsă	Înălțarea	existentă	B053	Mahalaua Domnița Bălașa	23	94	99	193	zid	toate orînduelile bune	2	0
7	Schitul Hagi Dina	Schitul Maicilor	1726	1982	Bunavestire	mutată	B087	nu este mahala	lipsă	lipsă	lipsă	lipsă	zid	toate deplin	2	0
8	Iancu	Iancu Vechi	1775	lipsă	Adormirea Precistii	existentă	B082	Mahalaua Iancului	80	148	181	329	zid	neîndestulată cu veșminte și cărți	3	0
9	Mănăstirea Mihai Vodă	Mănăstirea Mihai Vodă	1591	1985	Sfîntul Ierarh Nicolae	mutată	B050	Mahalaua Mănăstirea Mihai Vodă	157	344	343	687	zid	toate deplin	2	0
10	Sfîntul Elefterie	Sfîntul Elefterie-Vechi	1744	lipsă	Sfîntul Elefterie	existentă	B012	Mahalaua Sfîntul Elefterie	86	148	148	296	zid	toate deplin	2	0
11	Apostol	Apostol	1763	lipsă	Sfinții Împărați Costantin și Elena	existentă	B075	Mahalaua Apostolului	121	363	268	631	zid	neîndestulată cu veșminte și cărți	4	1
12	Broșteni	Tabacii de Sus	1731	lipsă	Adormirea Precistii	existentă	B062	Mahalaua Broșteni	114	204	190	394	zid	îndestulată cu odăjdii și cărți	4	0
13	Foișor	Foișor	1745	lipsă	Nașterea Precistii	existentă	B076	Mahalaua Foișorul	246	414	415	829	zid	neîndestulată cu cele trebuincioase	4	0
14	Slobozia	Slobozia	1664	lipsă	Adormirea Precistii	existentă	B059	Mahalaua Slobozia	126	200	206	406	zid	toate orînduelile bune	3	0
15	Mănăstirea Sfînta Ecaterina	Sfînta Ecaterina	1560	lipsă	necompletat	existentă	B060	Mahalaua Mănăstirea Sfînta Ecaterina	78	185	181	366	zid	toate orînduelile bune	1	0
16	Flămînda	Flămînda	1782	lipsă	Schimbarea la față	existentă	B058	Mahalaua Flămînda	86	159	181	340	zid	toate orînduelile bune	3	0
